鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,7.94,商,,,1071102,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,77.34,2,1,1,有,有,4580000,59219,,0.0,0,預售屋,RPOOMLTLKINFFAE28CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,7.94,商,,,1071102,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,77.34,2,1,1,有,有,4480000,57926,,0.0,0,預售屋,RPPOMLTLKINFFAE38CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,8.47,商,,,1070615,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,82.76,2,1,1,有,有,5100000,61624,,0.0,0,預售屋，含裝潢,RPQOMLTLKINFFAE48CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,9.16,商,,,1071024,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,88.64,2,1,1,有,有,5100000,57536,,0.0,0,預售屋,RPROMLTLKINFFAE58CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,9.16,商,,,1071008,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,88.64,2,1,1,有,有,5150000,58100,,0.0,0,預售屋,RPSOMLTLKINFFAE68CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,9.16,商,,,1070712,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,88.64,2,1,1,有,有,5160000,58213,,0.0,0,預售屋,RPTOMLTLKINFFAE78CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,8.39,商,,,1070319,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,82.1,2,1,1,有,有,4920000,59927,,0.0,0,預售屋,RPUOMLTLKINFFAE88CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,8.09,商,,,1070123,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,78.84,2,1,1,有,有,5100000,64688,,0.0,0,預售屋，含裝潢,RPVOMLTLKINFFAE98CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,8.09,商,,,1070123,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,78.84,2,1,1,有,有,5080000,64434,,0.0,0,預售屋，含裝潢,RPWOMLTLKINFFAE09CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,8.09,商,,,1070212,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,78.84,2,1,1,有,有,4770000,60502,,0.0,0,預售屋,RPXOMLTLKINFFAE56CA
