鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
新莊區,房地(土地+建物),新北市新莊區頭前路58巷1~30號,44.67,工,,,1070929,土地4建物1車位0,一層，二層，三層,三層,廠辦,見其他登記事項,鋼筋混凝土造,0780125,81.74,7,2,4,有,無,8000000,97871,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLQJJHOFFBF08CA
泰山區,房地(土地+建物)+車位,新北市泰山區明志路二段232巷1~30號,15.05,商,,,1061224,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070927,135.82999999999998,2,2,1,有,有,11090000,92881,坡道平面,35.81,1800000,,RPVQMLSJJHOFFBF98CA
泰山區,房地(土地+建物)+車位,新北市泰山區明志路二段232巷1~30號,15.31,商,,,1071107,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070927,140.86,2,2,1,有,有,11100000,89481,坡道平面,35.81,1700000,,RPWQMLSJJHOFFBF09CA
泰山區,房地(土地+建物)+車位,新北市泰山區明志路二段232巷1~30號,15.05,商,,,1071105,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070927,139.54000000000002,2,2,1,有,有,11750000,93994,坡道平面,35.81,2000000,,RPORMLSJJHOFFBF38CA
五股區,房地(土地+建物)+車位,新北市五股區民義路一段91~120號,47.83,住,,,1071203,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011119,231.17,4,2,3,有,有,18520000,81211,坡道平面,27.75,2000000,,RPSRMLSJJHOFFBF78CA
五股區,房地(土地+建物)+車位,新北市五股區新五路三段1~30號,37.68,住,,,1071212,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050929,217.17000000000002,4,2,2,有,有,16880000,78312,坡道平面,27.16,2000000,,RPOPMLTJJHOFFBF28CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段271~300號,24.05,商,,,1030508,土地1建物1車位2,十一層,三十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1070628,305.49,3,2,3,有,有,31000000,101476,坡道平面,0.0,0,預售屋買賣,RPTQMLLKJHOFFBF18CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段271~300號,24.05,商,,,1030829,土地1建物1車位2,二十層,三十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1070628,304.86,3,2,3,有,有,32250000,105786,坡道平面,0.0,0,預售屋買賣,RPQRMLLKJHOFFBF97CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段271~300號,24.05,商,,,1040509,土地1建物1車位2,二十一層,三十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1070628,304.86,3,2,3,有,有,32000000,104966,坡道平面,0.0,0,預售屋買賣,RPVRMLLKJHOFFBF48CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段271~300號,24.05,商,,,1030429,土地1建物1車位2,二十七層,三十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1070628,304.86,3,2,3,有,有,34000000,111527,坡道平面,0.0,0,預售屋買賣,RPRSMLLKJHOFFBF18CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段271~300號,24.05,商,,,1040120,土地1建物1車位2,二十八層,三十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1070628,304.86,3,2,3,有,有,33130000,108673,坡道平面,0.0,0,預售屋買賣,RPTSMLLKJHOFFBF38CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段271~300號,20.03,商,,,1031029,土地1建物1車位1,十層,三十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1070628,251.81,3,2,3,有,有,24800000,98487,坡道平面,0.0,0,預售屋買賣,RPWSMLLKJHOFFBF68CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段271~300號,20.03,商,,,1030701,土地1建物1車位1,十三層,三十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1070628,251.81,3,2,3,有,有,25200000,100075,坡道平面,0.0,0,預售屋買賣,RPQTMLLKJHOFFBF18CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段271~300號,20.4,商,,,1030620,土地1建物1車位1,五層,三十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1070628,246.9,3,2,3,有,有,22980000,93074,坡道平面,0.0,0,預售屋買賣,RPRTMLLKJHOFFBF28CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段271~300號,20.4,商,,,1030825,土地1建物1車位1,九層,三十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1070628,253.09,3,2,3,有,有,24050000,95025,坡道平面,0.0,0,1.預售屋買賣2.登記權利人2人,RPSTMLLKJHOFFBF38CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段271~300號,23.61,商,,,1030521,土地1建物1車位1,二十九層,三十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1070628,291.46999999999997,3,2,3,有,有,32880000,112807,坡道平面,0.0,0,預售屋買賣,RPUTMLLKJHOFFBF58CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段271~300號,24.29,商,,,1030429,土地1建物1車位2,二十八層,三十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1070628,307.11,3,2,3,有,有,33380000,108691,坡道平面,0.0,0,預售屋買賣,RPVTMLLKJHOFFBF68CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段271~300號,24.23,商,,,1030421,土地1建物1車位2,二十三層,三十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1070628,306.59,3,2,3,有,有,32980000,107570,坡道平面,0.0,0,預售屋買賣,RPWTMLLKJHOFFBF78CA
新莊區,房地(土地+建物)+車位,新北市新莊區福美街181~210號,22.0,住,,,1071205,土地1建物1車位1,二層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070823,133.09,2,2,2,有,有,15200000,128901,坡道平面,29.91,1900000,,RPSNMLSKJHOFFBF48CA
新莊區,房地(土地+建物)+車位,新北市新莊區福美街181~210號,22.0,住,,,1071120,土地1建物1車位1,六層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070823,133.09,2,2,2,有,有,14500000,122117,坡道平面,29.91,1900000,,RPTNMLSKJHOFFBF58CA
新莊區,房地(土地+建物),新北市新莊區後港一路31~60號,30.6,住,,,1071214,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780920,113.86,3,2,2,有,無,7150000,62796,,0.0,0,,RPURMLOLJHOFFBF78CA
林口區,房地(土地+建物),新北市林口區麗園二街12巷1~30號,23.17,住,,,1071116,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0730518,96.38,2,2,1,有,有,5000000,51878,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRQMLKMJHOFFBF08CA
新店區,房地(土地+建物),新北市新店區安祥路91~120號,49.27,,山坡地保育區,丙種建築用地,1071115,土地3建物1車位0,二層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0970319,91.94999999999999,2,2,1,有,有,6300000,68515,,0.0,0,,RPWNMLMLKINFFCF58CA
新店區,房地(土地+建物),新北市新店區百忍街1~30號,24.17,住,,,1071114,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0901127,113.35,3,2,2,有,有,16230000,143185,,0.0,0,含增建或未登記建物。;,RPOOMLMLKINFFCF87CA
新店區,房地(土地+建物),新北市新店區錦秀路52巷1~30號,28.99,住,,,1071031,土地7建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710227,64.2,2,2,1,有,無,4500000,70093,,0.0,0,,RPRNMLNLKINFFCF18CA
新店區,房地(土地+建物),新北市新店區安忠路57巷1~30號,17.85,住,,,1071120,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060110,98.33,3,2,2,有,有,10200000,103732,,0.0,0,建商與地主合建案。;,RPVNMLPLKINFFCF78CA
新店區,房地(土地+建物),新北市新店區北新路一段64巷39弄1~30號,51.14,住,,,1071109,土地3建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660811,107.08,3,2,2,有,無,9500000,88719,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSOMLRJJHOFFCF48CA
新店區,房地(土地+建物),新北市新店區安興路61~90號,12.46,工,,,1071120,土地3建物1車位0,五層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0970121,62.89,2,1,1,有,有,5800000,92225,,0.0,0,,RPROMLNKKHOFFCF18CA
汐止區,房地(土地+建物),新北市汐止區康寧街474巷1~30號,21.24,住,,,1071127,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850123,114.58,3,2,2,有,有,11200000,97748,,0.0,0,含增建或未登記建物。;,RPQNMLMLKINFFDF08CA
金山區,房地(土地+建物),新北市金山區中信北路45巷1~30號,295.0,,山坡地保育區,丙種建築用地,1071109,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0701105,118.13,4,3,3,有,有,5000000,42326,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLMLKINFFDF38CA
汐止區,房地(土地+建物),新北市汐止區湖前街91~120號,12.94,住,,,1071125,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831026,103.65,3,2,2,有,有,9000000,86831,,0.0,0,,RPWOMLPLKINFFDF09CA
汐止區,土地,中正段1411~1440地號,330.0,住,,,1071218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,43815735,132775,,0.0,0,地清標購案件。,RPVNMLSLKINFFDF56CA
汐止區,土地,大同段121~150地號,38.08,工,,,1071212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7200000,189076,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWNMLSLKINFFDF66CA
